,distance,patent_number
15835,0.0,10354506
15840,0.0,10354505
15930,0.0,10354407
5335,0.0,10063929
15935,0.0,10354404
5331,0.0,9451425
5330,0.0,10064026
15940,0.0,10354401
15945,0.0,10354396
5325,0.0,10066982
15950,0.0,10354341
15955,0.0,10354334
5320,0.0,10067688
5319,0.0,9806796
5318,0.0,9948382
5317,0.0,10069561
5316,0.0,10205515
5315,0.0,9461735
15960,0.0,10354327
5310,0.0,10069883
15965,0.0,10354325
15970,0.0,10354321
15975,0.0,10354317
5305,0.0,10069899
15980,0.0,10354316
15985,0.0,10354315
5295,0.0,10070313
15925,0.0,10354412
5405,0.0,10045296
5340,0.0,10062073
15915,0.0,10354435
15845,0.0,10354502
5400,0.0,10045354
15850,0.0,10354500
5395,0.0,10045369
15855,0.0,10354498
15860,0.0,10354493
5385,0.0,10050679
15865,0.0,10354492
15870,0.0,10354490
15875,0.0,10354474
5380,0.0,10051076
15880,0.0,10354472
15885,0.0,10354467
5376,0.0,10051417
5375,0.0,9369847
15890,0.0,10354466
15895,0.0,10354465
5370,0.0,10051450
5365,0.0,10051664
5360,0.0,10051676
15900,0.0,10354460
15905,0.0,10354455
5355,0.0,10056786
5350,0.0,10056960
5345,0.0,10057382
15920,0.0,10354425
15685,0.0,10355534
5540,0.0,10007325
15680,0.0,10355615
5701,0.0,9967292
5700,0.0,9967292
15495,0.0,10356499
15500,0.0,10356497
5697,0.0,9967646
5696,0.0,10313775
5695,0.0,10165346
15505,0.0,10356495
15510,0.0,10356476
5690,0.0,9967960
15515,0.0,10356468
5681,0.0,9584945
5680,0.0,9973872
5675,0.0,9974023
15520,0.0,10356398
15525,0.0,10356322
5671,0.0,9974105
5670,0.0,9516687
5669,0.0,9642527
5668,0.0,9888852
5667,0.0,9931035
5666,0.0,9888851
5665,0.0,9895061
15530,0.0,10356303
15535,0.0,10356251
15490,0.0,10356506
15540,0.0,10356208
15485,0.0,10356537
5706,0.0,9692699
15430,0.0,10356633
5750,0.0,9961507
15435,0.0,10356615
15440,0.0,10356605
5747,0.0,9961513
5746,0.0,10334407
5745,0.0,10334407
15445,0.0,10356586
15450,0.0,10356585
15455,0.0,10356584
5740,0.0,9961531
5735,0.0,9961565
15460,0.0,10356577
5730,0.0,9962532
5725,0.0,9965233
15465,0.0,10356568
5720,0.0,9966786
5718,0.0,9444485
5717,0.0,10224948
5716,0.0,9793915
5715,0.0,9966968
5711,0.0,9967114
5710,0.0,10348533
15475,0.0,10356557
15480,0.0,10356555
5705,0.0,9967229
5660,0.0,9975644
5655,0.0,9977634
5652,0.0,9749087
15640,0.0,10355811
5595,0.0,9996315
15645,0.0,10355798
5590,0.0,9998387
5587,0.0,9998827
5586,0.0,9699560
5585,0.0,9544690
5576,0.0,9591565
5575,0.0,9998990
15650,0.0,10355795
15655,0.0,10355762
5563,0.0,10003349
5562,0.0,10284215
5561,0.0,9461666
5560,0.0,9698806
5558,0.0,10312928
5557,0.0,10003350
5556,0.0,9698811
5555,0.0,9362941
5550,0.0,10004079
15660,0.0,10355749
15665,0.0,10355748
5545,0.0,10007112
15670,0.0,10355730
15675,0.0,10355637
15635,0.0,10355822
15630,0.0,10355836
5600,0.0,9996113
15625,0.0,10355896
5651,0.0,9985740
5650,0.0,10250355
15545,0.0,10356192
5645,0.0,9985901
5641,0.0,9986522
5640,0.0,9516698
5635,0.0,9991899
15550,0.0,10356189
15555,0.0,10356176
15560,0.0,10356164
15565,0.0,10356160
5630,0.0,9992132
5760,0.0,9960877
15570,0.0,10356142
15575,0.0,10356136
15580,0.0,10356123
15585,0.0,10356082
5620,0.0,9992615
5615,0.0,9992729
15600,0.0,10356028
5610,0.0,9992772
15605,0.0,10355958
15610,0.0,10355931
15615,0.0,10355924
5605,0.0,9992808
15620,0.0,10355899
5625,0.0,9992402
15990,0.0,10354306
6146,0.0,10277964
6148,0.0,10136198
6680,0.0,9794880
14645,0.0,10078135
6676,0.0,RE46575
6675,0.0,RE46509
6674,0.0,9642527
6673,0.0,9888852
6672,0.0,9931035
6671,0.0,9888851
6670,0.0,9895061
6665,0.0,9798010
6660,0.0,9798516
14660,0.0,10068550
6655,0.0,9798725
14670,0.0,10068244
6650,0.0,9799943
14671,0.0,10127571
6645,0.0,9800254
14675,0.0,10067531
6640,0.0,9800718
14680,0.0,10055942
6635,0.0,9801011
6630,0.0,9801039
14685,0.0,10054946
14690,0.0,10050800
14691,0.0,9083769
6685,0.0,9794323
6625,0.0,9801097
14642,0.0,9897304
14640,0.0,10082284
14599,0.0,9998857
14600,0.0,10111000
6720,0.0,9788288
14605,0.0,10109179
14610,0.0,10108859
14615,0.0,10104741
6715,0.0,9788351
6714,0.0,9642527
6713,0.0,9888852
6712,0.0,9931035
6711,0.0,9888851
6710,0.0,9895061
14620,0.0,10097529
6705,0.0,9791975
6703,0.0,9444485
6702,0.0,10224948
6701,0.0,9793915
6700,0.0,9966968
14625,0.0,10088821
6695,0.0,9793937
14630,0.0,10085331
14631,0.0,9936566
14632,0.0,9210779
14635,0.0,10085326
6690,0.0,9793964
14641,0.0,9581323
14598,0.0,10198886
14695,0.0,10047912
14701,0.0,10044707
14749,0.0,9741052
6585,0.0,9807857
6580,0.0,9811298
14750,0.0,9536452
6575,0.0,9813118
14751,0.0,10130548
14752,0.0,10016334
14755,0.0,10014454
6570,0.0,9813189
6567,0.0,9654604
6566,0.0,9813530
6565,0.0,10200515
6562,0.0,10075968
6561,0.0,9814059
6560,0.0,9497797
6555,0.0,9819197
14760,0.0,10013831
14761,0.0,9774991
6551,0.0,9820082
6550,0.0,9826339
14762,0.0,10115253
14763,0.0,10198886
6545,0.0,9820084
14764,0.0,9998857
6540,0.0,9820132
14748,0.0,10019725
14700,0.0,10158626
14747,0.0,10339557
6590,0.0,9807815
14705,0.0,9343066
6620,0.0,9801121
6615,0.0,9801133
6614,0.0,9642527
6613,0.0,9888852
6612,0.0,9931035
6611,0.0,9888851
6610,0.0,9895061
14706,0.0,10042821
14710,0.0,10042038
14715,0.0,10039143
6605,0.0,9806557
14720,0.0,10030882
14725,0.0,10030398
14730,0.0,10027898
6600,0.0,9806772
6599,0.0,9806796
6598,0.0,9948382
6597,0.0,10069561
6596,0.0,10205515
6595,0.0,9461735
14735,0.0,10122454
14736,0.0,10027410
14740,0.0,10021036
14745,0.0,10339557
14746,0.0,9558504
14597,0.0,10115253
6725,0.0,9788140
14596,0.0,9774991
14505,0.0,10149088
6860,0.0,9763097
6858,0.0,9763115
6857,0.0,10341886
6856,0.0,10091671
6855,0.0,10341886
14510,0.0,10148355
14515,0.0,10147256
6846,0.0,10154498
6845,0.0,9763254
