,10349270,10349418,10349318,10349295,10349285,10349227,10349218,10349197,10348985,10349236
10349270,0.43338116,0.072669699,0.041344724,0.056459443,0.029517268,0.0522206,0.018496862,0.009827193,0.0008855,0.011054639
10349418,0.079983408,0.393752644,0.033955763,0.065882383,0.041343096,0.055548918,0.045928175,0.070656584,0.002331332,0.008595072
10349318,0.048429147,0.036137131,0.369984304,0.041104303,0.029181149,0.023617714,0.042248532,0.008590516,0.001386873,0.001697838
10349295,0.06358016,0.067407431,0.039517147,0.384844254,0.017617907,0.020946999,0.053226888,0.00442765,0.002314671,0.008235743
10349285,0.045246352,0.057578966,0.038187662,0.023981519,0.282723961,0.033653954,0.057939379,0.01224012,0.008519245,0.010172766
10349227,0.064256139,0.062101462,0.024809837,0.02288809,0.027014781,0.352206413,0.0190717,0.025477693,0.001314666,0.023685248
10349218,0.021100181,0.047601515,0.041144617,0.05391805,0.043117597,0.017680916,0.379911026,0.009012515,0.001103793,0.002291359
10349197,0.007427219,0.048517995,0.005542801,0.002971563,0.006034969,0.01564891,0.005971104,0.573420577,0.000224833,0.001152938
10348985,0.000781326,0.001868965,0.001044704,0.001813626,0.004903851,0.000942728,0.000853775,0.000262487,0.491163912,0.06309297
10349236,0.01011352,0.007144318,0.001326072,0.006690761,0.006071408,0.017610146,0.00183765,0.001395619,0.065417685,0.473709669
